OID,sitecode,xsection,width_m
0,AZ_LV,1,20.48817231
1,AZ_LV,2,24.44252301
2,AZ_LV,3,32.80653187
3,AZ_LV,4,34.29016045
4,AZ_LV,5,32.94308161
5,AZ_LV,6,30.39146196
6,AZ_LV,7,14.03167825
7,AZ_LV,8,14.22676557
8,AZ_LV,9,14.73259397
9,AZ_LV,10,12.42417755
10,AZ_LV,11,32.86409565
11,AZ_OC,1,13.90905972
12,AZ_OC,2,18.06425263
13,AZ_OC,3,15.21412206
14,AZ_OC,4,18.90705108
15,AZ_OC,5,11.30128856
16,AZ_OC,6,20.15189505
17,AZ_OC,7,9.084103405
18,AZ_OC,8,18.07372772
19,AZ_OC,9,10.21935458
20,AZ_OC,10,19.13208936
21,AZ_WB,1,11.46563308
22,AZ_WB,2,15.70095873
23,AZ_WB,3,14.60854503
24,AZ_WB,4,15.14069043
25,AZ_WB,5,14.078299
26,AZ_WB,6,15.83807801
27,AZ_WB,7,16.74685943
28,AZ_WB,8,16.36816828
29,AZ_WB,9,15.30987252
30,AZ_WB,10,14.45200951
31,FL_SF2500,1,41.80756519
32,FL_SF2500,2,45.7258271
33,FL_SF2500,3,45.40011464
34,FL_SF2500,4,36.54638731
35,FL_SF2500,5,36.77129028
36,FL_SF2500,6,49.16645865
37,FL_SF2500,7,39.11793594
38,FL_SF2500,8,25.81027463
39,FL_SF2500,9,42.55034768
40,FL_SF2500,10,49.56727881
41,FL_SF2800,1,52.47615705
42,FL_SF2800,2,55.64866911
43,FL_SF2800,3,55.26206619
44,FL_SF2800,4,57.2938115
45,FL_SF2800,5,54.56800956
46,FL_SF2800,6,53.90921668
47,FL_SF2800,7,54.21764954
48,FL_SF2800,8,45.41946895
49,FL_SF2800,9,57.62547165
50,FL_SF2800,10,66.38484878
51,FL_WS1500,1,26.08848198
52,FL_WS1500,2,29.00115142
53,FL_WS1500,3,30.61603369
54,FL_WS1500,4,24.14533097
55,FL_WS1500,5,23.04014307
56,FL_WS1500,6,21.72587472
57,FL_WS1500,7,15.55712014
58,FL_WS1500,8,22.80681915
59,FL_WS1500,9,18.06278993
60,FL_WS1500,10,25.4660031
61,MD_DRKR,1,6.516228336
62,MD_DRKR,2,7.295355673
63,MD_DRKR,3,8.525912978
64,MD_DRKR,4,4.145948476
65,MD_DRKR,5,4.766434674
66,MD_DRKR,6,2.865664832
67,MD_DRKR,7,5.690983213
68,MD_DRKR,8,7.29604763
69,MD_DRKR,9,4.94112667
70,MD_DRKR,10,7.147256346
71,MD_DRKR,11,5.525756795
72,NC_NHC,1,11.27687713
73,NC_NHC,2,9.567713252
74,NC_NHC,3,13.34668889
75,NC_NHC,4,15.53932671
76,NC_NHC,5,12.68130556
77,NC_NHC,6,12.9324449
78,NC_NHC,7,12.68130556
79,NC_NHC,8,14.15630133
80,NC_NHC,9,14.83891995
81,NC_NHC,10,15.49148876
82,NC_UNHC,1,19.98457359
83,NC_UNHC,2,17.16065524
84,NC_UNHC,3,14.28028311
85,NC_UNHC,4,16.02185362
86,NC_UNHC,5,15.91986753
87,NC_UNHC,6,17.72099765
88,NC_UNHC,7,17.92206749
89,NC_UNHC,8,13.13976463
90,NC_UNHC,9,11.47203157
91,NC_UNHC,10,10.33681094
92,NH_DCF,1,5.599321109
93,NH_DCF,2,3.631752886
94,NH_DCF,3,4.441890099
95,NH_DCF,4,5.301796437
96,NH_DCF,5,6.281781217
97,NH_DCF,6,3.676134401
98,NH_DCF,7,3.952485614
99,NH_DCF,8,3.727244982
100,NH_DCF,9,5.392777656
101,NH_DCF,10,2.711382762
102,nwis_01184000,1,353.0910803
103,nwis_01184000,2,358.2630642
104,nwis_01184000,3,333.2679667
105,nwis_01184000,4,274.9460725
106,nwis_01184000,5,274.9460725
107,nwis_01184000,6,308.2728692
108,nwis_01184000,7,374.9264625
109,nwis_01184000,8,400.0083392
110,nwis_01184000,9,328.2308814
111,nwis_01184000,10,323.5446711
112,nwis_01388000,1,28.78209175
113,nwis_01388000,2,27.18717471
114,nwis_01388000,3,26.1401497
115,nwis_01388000,4,23.84415274
